timestamp_min,service,latency_ms,request_volume,error_rate_pct
0,network-gateway,41.7,1064,0.11
3,network-gateway,40.9,1056,0.14
6,network-gateway,39.4,1127,0.08
9,network-gateway,41.7,1064,0.15
12,network-gateway,43.2,1024,0.09
15,network-gateway,39.1,1049,0.09
18,network-gateway,34.7,1163,0.07
21,network-gateway,37.6,1013,0.03
24,network-gateway,40.3,1016,0.16
27,network-gateway,40.4,1049,0.15
30,network-gateway,44.6,1016,0.09
33,network-gateway,43.2,961,0.18
36,network-gateway,38.2,1064,0.12
39,network-gateway,43.1,1048,0.18
42,network-gateway,41.9,1022,0.15
45,network-gateway,39.9,1052,0.14
48,network-gateway,18.8,985,0.13
51,network-gateway,5,1168,0.07
54,network-gateway,52.2,1041,0.26
57,network-gateway,37.6,1034,0.35
60,network-gateway,41.0,1064,0.58
63,network-gateway,64.8,1099,0.66
66,network-gateway,90.9,1002,0.71
69,network-gateway,98.3,1103,0.84
72,network-gateway,86.7,1025,1.1
75,network-gateway,133.4,975,1.33
78,network-gateway,140.2,1056,1.54
81,network-gateway,103.6,1014,1.76
84,network-gateway,131.4,1051,1.97
87,network-gateway,142.3,963,2.28
90,network-gateway,138.2,963,2.48
93,network-gateway,140.6,947,2.81
96,network-gateway,157.9,1035,3.11
99,network-gateway,165.1,1002,3.44
102,network-gateway,205.9,918,3.83
105,network-gateway,178.0,939,4.23
108,network-gateway,177.8,940,4.53
111,network-gateway,203.3,982,4.84
114,network-gateway,184.0,971,5.22
117,network-gateway,235.7,979,5.64
120,network-gateway,240.1,976,6.06
123,network-gateway,245.0,975,6.59
126,network-gateway,273.1,878,7.17
129,network-gateway,299.2,803,7.53
132,network-gateway,290.1,969,7.93
135,network-gateway,312.8,928,8.44
138,network-gateway,308.4,846,8.79
141,network-gateway,344.1,894,9.41
144,network-gateway,311.1,1022,9.88
147,network-gateway,338.4,864,10.42
150,network-gateway,357.8,850,11.04
153,network-gateway,375.0,933,11.57
156,network-gateway,406.4,936,12.16
159,network-gateway,377.9,816,12.7
162,network-gateway,413.8,832,13.34
165,network-gateway,390.3,887,13.95
168,network-gateway,431.0,811,14.41
171,network-gateway,452.2,823,15.23
174,network-gateway,495.1,772,15.9
177,network-gateway,488.2,892,16.51
180,network-gateway,508.5,794,17.29
183,network-gateway,487.5,867,17.91
186,network-gateway,507.6,807,18.08
189,network-gateway,475.1,739,18.14
192,network-gateway,502.1,851,18.2
195,network-gateway,515.9,820,18.11
198,network-gateway,504.9,716,18.11
201,network-gateway,484.8,772,18.13
204,network-gateway,533.2,714,18.02
207,network-gateway,489.8,775,18.14
210,network-gateway,531.2,734,18.18
213,network-gateway,500.7,829,18.18
216,network-gateway,518.7,754,18.09
219,network-gateway,536.2,745,18.21
222,network-gateway,503.6,782,18.11
225,network-gateway,531.5,750,18.17
228,network-gateway,493.9,882,18.19
231,network-gateway,512.9,761,18.14
234,network-gateway,486.3,878,18.12
237,network-gateway,507.7,834,18.2
240,network-gateway,491.0,864,18.0
243,network-gateway,458.7,762,18.21
246,network-gateway,527.4,912,18.11
249,network-gateway,472.4,824,18.09
252,network-gateway,484.2,786,18.08
255,network-gateway,499.8,787,18.17
258,network-gateway,493.3,705,18.09
261,network-gateway,525.7,823,18.09
264,network-gateway,521.2,721,18.1
267,network-gateway,485.8,819,18.11
270,network-gateway,460.4,850,18.07
273,network-gateway,483.6,760,18.11
276,network-gateway,496.0,844,18.05
279,network-gateway,478.1,802,18.13
282,network-gateway,532.6,735,18.13
285,network-gateway,473.6,783,18.07
288,network-gateway,504.9,711,18.12
291,network-gateway,517.3,796,18.02
294,network-gateway,520.2,814,18.09
297,network-gateway,492.0,732,18.12
300,network-gateway,537.8,793,18.12
303,network-gateway,488.7,805,18.17
306,network-gateway,514.6,802,18.15
309,network-gateway,508.2,716,18.18
312,network-gateway,540.8,756,18.05
315,network-gateway,460.7,787,18.01
318,network-gateway,498.5,730,18.11
321,network-gateway,480.6,722,18.05
324,network-gateway,499.2,811,18.11
327,network-gateway,492.2,849,18.14
330,network-gateway,491.4,713,18.16
333,network-gateway,481.8,776,18.13
336,network-gateway,525.3,751,18.08
339,network-gateway,498.4,739,18.16
342,network-gateway,501.9,687,18.16
345,network-gateway,499.8,724,18.09
348,network-gateway,504.0,845,18.16
351,network-gateway,492.5,742,18.14
354,network-gateway,522.7,843,18.16
357,network-gateway,497.0,785,18.1
360,network-gateway,493.7,794,18.09
0,auth-service,61.7,515,0.16
3,auth-service,60.1,465,0.21
6,auth-service,61.5,545,0.22
9,auth-service,63.3,513,0.16
12,auth-service,54.9,489,0.14
15,auth-service,135.0,508,0.22
18,auth-service,61.5,497,0.15
21,auth-service,61.1,553,0.21
24,auth-service,57.8,480,0.16
27,auth-service,65.0,545,0.23
30,auth-service,59.6,535,0.22
33,auth-service,56.0,455,0.15
36,auth-service,63.4,548,0.24
39,auth-service,58.8,505,0.22
42,auth-service,53.1,503,0.19
45,auth-service,66.3,509,0.18
48,auth-service,63.1,493,0.25
51,auth-service,56.2,556,0.22
54,auth-service,93.7,505,0.25
57,auth-service,19.9,529,0.27
60,auth-service,78.2,482,0.22
63,auth-service,70.9,490,0.4
66,auth-service,118.8,537,0.44
69,auth-service,70.8,492,0.64
72,auth-service,102.0,522,0.68
75,auth-service,127.1,477,0.81
78,auth-service,120.4,499,0.97
81,auth-service,116.4,461,1.12
84,auth-service,127.4,488,1.37
87,auth-service,131.1,528,1.5
90,auth-service,110.2,513,1.75
93,auth-service,159.8,511,2.06
96,auth-service,192.8,511,2.3
99,auth-service,182.8,516,2.55
102,auth-service,159.8,481,2.88
105,auth-service,205.3,498,3.22
108,auth-service,203.2,548,3.4
111,auth-service,259.6,514,3.71
114,auth-service,212.3,461,4.13
117,auth-service,308.5,491,4.43
120,auth-service,255.6,474,4.88
123,auth-service,294.4,492,5.23
126,auth-service,331.8,492,5.61
129,auth-service,303.2,490,6.05
132,auth-service,366.7,397,6.5
135,auth-service,302.3,427,7.0
138,auth-service,352.3,487,7.44
141,auth-service,361.7,448,7.83
144,auth-service,369.4,462,8.36
147,auth-service,344.6,452,8.95
150,auth-service,372.7,411,9.43
153,auth-service,380.2,424,9.98
156,auth-service,442.5,437,10.41
159,auth-service,434.2,418,11.04
162,auth-service,448.2,365,11.48
165,auth-service,485.4,424,12.07
168,auth-service,496.2,428,12.79
171,auth-service,453.6,385,13.37
174,auth-service,526.3,417,13.9
177,auth-service,506.6,359,14.55
180,auth-service,544.9,380,15.19
183,auth-service,559.7,432,15.83
186,auth-service,584.0,375,16.54
189,auth-service,581.9,382,17.11
192,auth-service,656.5,382,17.66
195,auth-service,619.6,358,18.18
198,auth-service,611.5,418,18.15
201,auth-service,643.0,416,18.26
204,auth-service,632.2,373,18.28
207,auth-service,638.2,400,18.15
210,auth-service,702.9,429,18.26
213,auth-service,671.6,418,18.13
216,auth-service,617.7,384,18.28
219,auth-service,630.6,418,18.13
222,auth-service,591.1,382,18.24
225,auth-service,642.4,359,18.26
228,auth-service,645.3,366,18.19
231,auth-service,672.2,385,18.25
234,auth-service,623.5,412,18.16
237,auth-service,629.8,400,18.19
240,auth-service,638.2,429,18.29
243,auth-service,626.7,340,18.15
246,auth-service,672.4,320,18.2
249,auth-service,604.0,385,18.28
252,auth-service,603.7,397,18.13
255,auth-service,608.2,405,18.24
